date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:26	658/658	U-----	200	untouched ('')	image/png	etag:%224189402004d7ccb81f38c54d5b90c30f%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/d_8.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/d_8.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:26	15977/15977	U-----	200	untouched ('')	image/png	etag:%226d1ee7bbd8cb90b1a7e349949ac9cc67%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/d_10.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/d_10.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:26	15141/15141	U-----	200	untouched ('')	image/png	etag:%2260b314f28e7bd8c88560b2cb34bfdff7%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/d_9.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/d_9.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:26	15270/15270	U-----	200	untouched ('')	image/png	etag:%223ba5991ecef501475c62f1128054c241%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/d_11.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/d_11.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:26	30041/30041	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2029%20Jan%202021%2006:17:53%20GMT	https://cstaticdun.126.net/load.min.js?t=1612789580	C:/My%20Websites/mkd/load.mind7cd.js	(from https://www.makeding.com/gongsizixun/cj-2021-niandu.html)
21:06:26	559186/559186	---M--	200	added ('OK')	image/jpeg	etag:%222ce65c3dba90e2c60b102ec0509c4eb9%22	https://pic.mairuan.com/WebSource/makedingzh/news/images/5fe55f151b981.jpg	C:/My%20Websites/mkd/WebSource/makedingzh/news/images/5fe55f151b981.jpg	(from https://www.makeding.com/gongsizixun/cj-2021-niandu.html)
21:06:27	3177/3177	U-----	200	untouched ('')	image/png	etag:%22ae68617075c63c9b24c61b71796a0c47%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/d_17.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/d_17.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:27	34176/34176	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cb78fb94d6d8038cde2439a71bdcc7b3%22	https://cdn.mairuan.com/cdn/common/js/common.js?t=1612789580	C:/My%20Websites/mkd/cdn/common/js/commond7cd.js	(from https://www.makeding.com/gongsizixun/cj-2021-niandu.html)
21:06:27	30041/30041	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2029%20Jan%202021%2006:17:53%20GMT	https://cstaticdun.126.net/load.min.js?t=1612789581	C:/My%20Websites/mkd/load.min2c51.js	(from https://www.makeding.com/gongsizixun/cj-20201111.html)
21:06:27	631/631	U-----	200	untouched ('')	image/png	etag:%2287fd8738bc516bb60c276fe3ff31c70f%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/d_13.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/d_13.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:27	758/758	U-----	200	untouched ('')	image/png	etag:%22227b586e499e1c76f3d1b2c1baae29d3%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/d_15.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/d_15.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:27	1806/1806	U-----	200	untouched ('')	image/png	etag:%221fc920f72fa9c3c66d980951d7c8c3ee%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/d_14.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/d_14.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
21:06:27	34176/34176	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cb78fb94d6d8038cde2439a71bdcc7b3%22	https://cdn.mairuan.com/cdn/common/js/common.js?t=1612789581	C:/My%20Websites/mkd/cdn/common/js/common2c51.js	(from https://www.makeding.com/gongsizixun/cj-20201111.html)
21:06:27	668/668	U-----	200	untouched ('')	image/png	etag:%222f6456e4637cb59d68e0d24384ee6c97%22	https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/images/menu/d_16.png	C:/My%20Websites/mkd/cdn/mairuan/mairuan1.1/images/menu/d_16.png	(from https://cdn.mairuan.com/cdn/mairuan/mairuan1.1/css/menu_mr.css?v=1.0.6)
